fact_id,food_beverage_id,polymer_id,biocoagulation_id,biological_sample_id,food_item,food_category,sample_preparation,quality_parameter,particle_number_numeric,size_range_um_standardized,polymer_type_standardized,detection_method_standardized,source_table
MP_0001,FW_0001,POLY_001,BC_001,BS_001,Anchovy (S. indicus),Marine animal origin,"Digestion: 10% KOH (60°C, 24 h)",Not Reported,0.07,115–210 µm,PE,Optical microscopy,food_water_beverages
MP_0002,FW_0002,POLY_002,BC_002,BS_002,"Anchovy (S. waitei - Dried),",Marine animal origin,"Digestion: 10% KOH (40°C, 72 h); density separation: 4.4 M NaI (ρ = 1.5 g/mL)",Not Reported,0.43,1–1000 µm,HDPE,Optical microscopy,food_water_beverages
MP_0003,FW_0003,POLY_003,BC_003,BS_003,Barracuda (S. jello),Marine animal origin,"Digestion: 10% KOH (40°C, 48 h)",Not Reported,5.66,Not Reported,LDPE,Optical microscopy,food_water_beverages
MP_0004,FW_0004,POLY_004,BC_004,BS_004,Barracuda (S. putnamiae),Marine animal origin,"Digestion: 30% H2O2 (65°C, 24–48 h)",Not Reported,0,Not Reported,PP,Optical microscopy,food_water_beverages
MP_0005,FW_0005,POLY_005,BC_005,BS_005,Bartail flathead (P. indicus),Marine animal origin,"Digestion: 10% KOH (40°C, 48 h)",Not Reported,18.5,Not Reported,PET,Optical microscopy,food_water_beverages
MP_0006,FW_0006,POLY_006,BC_006,BS_006,Bartail flathead (P. indicus),Marine animal origin,"Digestion: 10% KOH (40°C, 48 h)",Not Reported,0.179,Fibers 50–8000 µm; Fragments <500 µm,PS,Optical microscopy,food_water_beverages
MP_0007,FW_0007,POLY_007,BC_007,BS_007,Bartail flathead (P. indicus),Marine animal origin,"Digestion: 30% H2O2 (65°C, 24–48 h)",Not Reported,0,Not Reported,EPS,Optical microscopy,food_water_beverages
MP_0008,FW_0008,POLY_008,BC_008,BS_008,Belanger’s croaker (J. belangerii - Dried),Marine animal origin,"Digestion: 10% KOH (40°C, 72 h); density separation: 4.4 M NaI (ρ = 1.5 g/mL)",Not Reported,0.3,1–1000 µm,PVC,Optical microscopy,food_water_beverages
MP_0009,FW_0009,POLY_009,BC_009,BS_009,Bream (A. spinifer),Marine animal origin,"Digestion: 30% H2O2 (65°C, 24–48 h)",Not Reported,0,Not Reported,PA,Optical microscopy,food_water_beverages
MP_0010,FW_0010,POLY_010,BC_010,BS_010,Brown shrimp (C. crangon),Marine animal origin,"Digestion: HNO3:HClO4 4:1 v:v ((80°C, 10 min + 30 min cooling time) * 2)",Not Reported,1.23,200–1000 µm,PU,Optical microscopy,food_water_beverages
MP_0011,FW_0011,POLY_011,BC_011,BS_011,Canned sardines and sprats,Marine animal origin,"Digestion: 10% KOH (40°C, 72 h); density separation: NaI solution","Recovery (PVC 99.0%, PET 80.5%, HDPE 103.7%, PS 100.0 %, PE 99.4%, PP 106.0%, PA-6 91.0%, Pa-66 95.0%)",0.01,190–3800 µm,PC,Optical microscopy,food_water_beverages
