fact_id,biological_sample_id,blood_type_id,organ_id,polymer_id,food_item,food_category,sample_preparation,quality_parameter,particle_number_numeric,size_range_um_standardized,polymer_type_standardized,detection_method_standardized,source_table,source_table
MP_0001,BS_001,BLD_001,ORG_001,POLY_001,Anchovy (S. indicus),Marine animal origin,"Digestion: 10% KOH (60Â°C, 24 h)",Not Reported,0.07,115â€“210 Âµm,PE,Optical microscopy,food_water_beverages,food_water_beverages
MP_0002,BS_002,BLD_002,ORG_002,POLY_002,"Anchovy (S. waitei - Dried),",Marine animal origin,"Digestion: 10% KOH (40Â°C, 72 h); density separation: 4.4 M NaI (Ï = 1.5 g/mL)",Not Reported,0.43,1â€“1000 Âµm,HDPE,Optical microscopy,food_water_beverages,food_water_beverages
MP_0003,BS_003,BLD_003,ORG_003,POLY_003,Barracuda (S. jello),Marine animal origin,"Digestion: 10% KOH (40Â°C, 48 h)",Not Reported,5.66,Not Reported,LDPE,Optical microscopy,food_water_beverages,food_water_beverages
MP_0004,BS_004,BLD_004,ORG_004,POLY_004,Barracuda (S. putnamiae),Marine animal origin,"Digestion: 30% H2O2 (65Â°C, 24â€“48 h)",Not Reported,0,Not Reported,PP,Optical microscopy,food_water_beverages,food_water_beverages
MP_0005,BS_005,BLD_005,ORG_005,POLY_005,Bartail flathead (P. indicus),Marine animal origin,"Digestion: 10% KOH (40Â°C, 48 h)",Not Reported,18.5,Not Reported,PET,Optical microscopy,food_water_beverages,food_water_beverages
MP_0006,BS_006,BLD_006,ORG_006,POLY_006,Bartail flathead (P. indicus),Marine animal origin,"Digestion: 10% KOH (40Â°C, 48 h)",Not Reported,0.179,Fibers 50â€“8000 Âµm; Fragments <500 Âµm,PS,Optical microscopy,food_water_beverages,food_water_beverages
MP_0007,BS_007,BLD_007,ORG_007,POLY_007,Bartail flathead (P. indicus),Marine animal origin,"Digestion: 30% H2O2 (65Â°C, 24â€“48 h)",Not Reported,0,Not Reported,EPS,Optical microscopy,food_water_beverages,food_water_beverages
MP_0008,BS_008,BLD_008,ORG_008,POLY_008,Belangerâ€™s croaker (J. belangerii - Dried),Marine animal origin,"Digestion: 10% KOH (40Â°C, 72 h); density separation: 4.4 M NaI (Ï = 1.5 g/mL)",Not Reported,0.3,1â€“1000 Âµm,PVC,Optical microscopy,food_water_beverages,food_water_beverages
MP_0009,BS_009,BLD_009,ORG_009,POLY_009,Bream (A. spinifer),Marine animal origin,"Digestion: 30% H2O2 (65Â°C, 24â€“48 h)",Not Reported,0,Not Reported,PA,Optical microscopy,food_water_beverages,food_water_beverages
MP_0010,BS_010,BLD_010,ORG_010,POLY_010,Brown shrimp (C. crangon),Marine animal origin,"Digestion: HNO3:HClO4 4:1 v:v ((80Â°C, 10 min + 30 min cooling time) * 2)",Not Reported,1.23,200â€“1000 Âµm,PU,Optical microscopy,food_water_beverages,food_water_beverages
MP_0011,BS_011,BLD_011,ORG_011,POLY_011,Canned sardines and sprats,Marine animal origin,"Digestion: 10% KOH (40Â°C, 72 h); density separation: NaI solution","Recovery (PVC 99.0%, PET 80.5%, HDPE 103.7%, PS 100.0 %, PE 99.4%, PP 106.0%, PA-6 91.0%, Pa-66 95.0%)",0.01,190â€“3800 Âµm,PC,Optical microscopy,food_water_beverages,food_water_beverages
MP_0012,BS_012,BLD_012,ORG_012,POLY_012,Chinese razor clam (S. constricta),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65Â°C, 24â€“48 h); density separation: NaCl solution",Not Reported,2.1,5â€“5000 Âµm,PMMA,Optical microscopy,food_water_beverages,food_water_beverages
MP_0013,BS_013,BLD_013,ORG_013,POLY_013,Chinese razor clam (S. constricta),Marine animal origin,"Digestion: 10% KOH + 30% H2O2 (60Â°C, 24 h)",Not Reported,1.8,74â€“2000 Âµm,POM,Optical microscopy,food_water_beverages,food_water_beverages
MP_0014,BS_014,BLD_014,ORG_014,POLY_014,"Clam (A. crenata, M. tokyoensis)",Marine animal origin,"Digestion: 10% KOH (300 rpm, 60Â°C, 24 h); density separation: saturated saline solution (Ï = 1.2 g/mL)","Recovery (PE 90% - 95%, PP 95% - 115%)",0.17,170 â€“9730 Âµm,ABS,Optical microscopy,food_water_beverages,food_water_beverages
