food_beverage_id,food_item,food_category,sample_preparation,particle_number_numeric,size_range_um_standardized,polymer_type_standardized,detection_method_standardized
FW_0001,Anchovy (S. indicus),Marine animal origin,"Digestion: 10% KOH (60°C, 24 h)",0.07,115–210 µm,PE,Optical microscopy
FW_0002,"Anchovy (S. waitei - Dried),",Marine animal origin,"Digestion: 10% KOH (40°C, 72 h); density separation: 4.4 M NaI (ρ = 1.5 g/mL)",0.43,1–1000 µm,HDPE,Optical microscopy
FW_0003,Barracuda (S. jello),Marine animal origin,"Digestion: 10% KOH (40°C, 48 h)",5.66,Not Reported,LDPE,Optical microscopy
FW_0004,Barracuda (S. putnamiae),Marine animal origin,"Digestion: 30% H2O2 (65°C, 24–48 h)",0,Not Reported,PP,Optical microscopy
FW_0005,Bartail flathead (P. indicus),Marine animal origin,"Digestion: 10% KOH (40°C, 48 h)",18.5,Not Reported,PET,Optical microscopy
FW_0006,Bartail flathead (P. indicus),Marine animal origin,"Digestion: 10% KOH (40°C, 48 h)",0.179,Fibers 50–8000 µm Fragments <500 µm,PS,Optical microscopy
FW_0007,Bartail flathead (P. indicus),Marine animal origin,"Digestion: 30% H2O2 (65°C, 24–48 h)",0,Not Reported,EPS,Optical microscopy
FW_0008,Belanger’s croaker (J. belangerii - Dried),Marine animal origin,"Digestion: 10% KOH (40°C, 72 h); density separation: 4.4 M NaI (ρ = 1.5 g/mL)",0.3,1–1000 µm,PVC,Optical microscopy
FW_0009,Bream (A. spinifer),Marine animal origin,"Digestion: 30% H2O2 (65°C, 24–48 h)",0,Not Reported,PA,Optical microscopy
FW_0010,Brown shrimp (C. crangon),Marine animal origin,"Digestion: HNO3:HClO4 4:1 v:v ((80°C, 10 min + 30 min cooling time) * 2)",1.23,200–1000 µm,PU,Optical microscopy
FW_0011,Canned sardines and sprats,Marine animal origin,"Digestion: 10% KOH (40°C, 72 h); density separation: NaI solution",0.01,190–3800 µm,PC,Optical microscopy
FW_0012,Chinese razor clam (S. constricta),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24–48 h); density separation: NaCl solution",2.1,5–5000 µm,PMMA,Optical microscopy
FW_0013,Chinese razor clam (S. constricta),Marine animal origin,"Digestion: 10% KOH + 30% H2O2 (60°C, 24 h)",1.8,74–2000 µm,POM,Optical microscopy
FW_0014,"Clam (A. crenata, M. tokyoensis)",Marine animal origin,"Digestion: 10% KOH (300 rpm, 60°C, 24 h); density separation: saturated saline solution (ρ = 1.2 g/mL)",0.17,170 –9730 µm,PA,Optical microscopy
FW_0015,Crab (C. opilio),Marine animal origin,"Digestion: 10% KOH (300 rpm, 60°C, 24 h); density separation: saturated saline solution (ρ = 1.2 g/mL)",0.17,171 –9730 µm,PA,Optical microscopy
FW_0016,Shrimp (P. borealis),Marine animal origin,"Digestion: 10% KOH (300 rpm, 60°C, 24 h); density separation: saturated saline solution (ρ = 1.2 g/mL)",0.17,172 –9730 µm,PA,Optical microscopy
FW_0017,Clam (A. mirabilis),Marine animal origin,"Digestion: 65% HNO3 + 30% H2O2 (1:3, v/v); density separation: NaI solution (ρ = 1.8 g/mL)",6.9,50–5000 µm,UNKNOWN,Optical microscopy
FW_0018,Clam (C. fluminea),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24–48 h)",0.2,5–5000 µm,CP,Optical microscopy
FW_0019,Clam (C. fulminea),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 72 h)",0.4,21–4830 µm,PP,Optical microscopy
FW_0020,Clam (C. glaucum),Marine animal origin,"Digestion: 10% KOH (rt, 48 h)",0.01,3000 µm,PP,Optical microscopy
FW_0021,Clam (C. sinensis),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24–48 h); density separation: NaCl solution",3.9,5–5000 µm,PE,Optical microscopy
FW_0022,Clam (E. tenuis),Marine animal origin,Digestions: 10% KOH (50°C overnight); density separation: NaCl (ρ = 1.2 g/cm3),1.8,41–9000 µm,PE,Optical microscopy
FW_0023,Clam (L. balthica),Marine animal origin,"Digestion: 10% KOH (rt, 48 h)",0.25,60–900 µm,PES,Optical microscopy
FW_0024,Clam (M. meretrix),Marine animal origin,"Digestion: 10% KOH (125 rpm, 40°C, 72 h); staining: Nile red 5 µg/mL (30 min)",0.5,21.06–1500 µm,PU,Fluorescence microscopy
FW_0025,Clam (M. meretrix),Marine animal origin,"Digestion: 10% KOH (300 rpm, 60°C, 6 h); density separation: saturated NaCl solution (ρ = 1.2 g/mL)",0.59,100–1640 µm,PP,Optical microscopy
FW_0026,"Mussel (M. edulis, P. viridis)",Marine animal origin,"Digestion: 10% KOH (300 rpm, 60°C, 6 h); density separation: saturated NaCl solution (ρ = 1.2 g/mL)",0.59,100–1640 µm,PP,Optical microscopy
FW_0027,Clam (M. veneriformis),Marine animal origin,"Digestion: 10% KOH (sonication 5 min; incubation 90 rpm, 60°C, 24 h)",1.2,57–8639 µm,RY,Optical microscopy
FW_0028,Clam (R. philippinarum),Marine animal origin,"Digestion: 10% KOH (sonication 5 min; incubation 90 rpm, 60°C, 24 h)",1.9,57–8639 µm,RY,Optical microscopy
FW_0029,Clam (R. philippinarum),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24–48 h); density separation: NaCl solution",2.5,5–5000 µm,PE,Optical microscopy
FW_0030,"Clam (R. philippinarum, M. meretrix); razor clam (S. constricta)",Marine animal origin,"Digestion: 10% KOH (ultrasound 5 min + 90 rpm, 24 h); density separation: NaCl (ρ = 1.2 g/cm3) + KI (ρ = 1.55 g/cm3)",1,40–5000 µm,RY,Optical microscopy
FW_0031,Clam (S. plana),Marine animal origin,"Digestion: 10% KOH (rt, 48 h)",0.05,1.8 µm,PAN,Optical microscopy
FW_0032,Clam (S. subcrenata),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24–48 h); density separation: NaCl solution",10.5,5–5000 µm,PE,Optical microscopy
FW_0033,Clam (T. granosa),Marine animal origin,"Digestion: 30% H2O2 (80 rpm, 65°C, 24–48 h); density separation: NaCl solution",4.1,5–5000 µm,PE,Optical microscopy
FW_0034,Clam (V. philippinarum),Marine animal origin,"Digestion: 10% KOH (60°C, 24 h); density separation: CaCl2 (ρ = 1.4 g/mL)",0.13,10–5000 µm,PA-6,Optical microscopy
FW_0035,Clamp (A. purpuratus),Marine animal origin,Digestion: 30% H2O2,7.1,10–5000 µm,PE,Optical microscopy
FW_0036,Clamp (A. umbonella),Marine animal origin,Digestion: 30% H2O2,6.9,10–5000 µm,PE,Optical microscopy
FW_0037,Cockle,Marine animal origin,"Digestion: 10% KOH (300 rpm, 60°C, 24 h)",2.46,> 15 µm,PE,Optical microscopy
FW_0038,Crab (C. maenas),Marine animal origin,"Microwave assisted digestion: 65% HNO3, 30% H2O2",0,10–5000 µm,UNKNOWN,Optical microscopy
FW_0039,Crab (H. sanguineus),Marine animal origin,"Microwave assisted digestion: 65% HNO3, 30% H2O2",26,Not Reported,UNKNOWN,Optical microscopy
FW_0040,Crab (muscle - P. armatus),Marine animal origin,"Digestion: 10% KOH (40°C, 48 h)",0.256,Fibers 50–8000 µm Fragments <500 µm,UNKNOWN,Optical microscopy
FW_0041,Crab (P. pelagicus),Marine animal origin,"Digestion: 10% KOH (60 °C, 24 h)",0.14,130–286 µm,PP,Optical microscopy
FW_0042,"Crab (P. trituberculatus, C. japonica, D. japonica, M. planipes)",Marine animal origin,"Digestion: 10% KOH (60 rpm, 40°C, 24–48 h)",0,19.97–4976.22 µm,CELLOPHANE,µ-FTIR
FW_0043,Crabs (P. armatus),Marine animal origin,"Digestion: 10% KOH (135 rpm, 60°C, 24 h); ASE dichloromethane (180°C, 1500 psi)",0,Not Reported,PS,Py-GC/MS
