biological_sample_id,sample_type,polymer_sample_size,abundance_numeric,size_range_um_standardized,polymer_type_standardized,population_type,polymer_study_type,study_year,organ_id,organ_system,organ,shape_standardized,detection_method_standardized,organ_sample_size,organ_abundance_numeric,organ_size_range_um_standardized,entry_route,organ_study_type,blood_type_id,classification_type,classification_value,detected_samples_n,detected_samples_pct,mean_concentration_per_ml,min_concentration,median_concentration,max_concentration,sample_matrix,total_participants,detection_pct_overall,overall_mean_mp_per_ml,detection_method,study_country
BS_001,Breastmilk,7,20.2,> 20 µm,PA,lactating mothers,primary_study,2024,ORG_001,Cardiovascular,Thrombi,block shaped,µ-Raman,26,87,2.1–26.0 µm,Ingestion/Inhalation,scoping_review,BLD_001,polymer,PE,18,50,1.4,0,0,17,whole_blood,36,88.9,4.2,µ-FTIR,South Korea
BS_002,Breastmilk,34,58,1–12 µm,PE,lactating mothers,primary_study,2024,ORG_002,Cardiovascular,Vein,fragment,µ-FTIR,5,20,16–1074 µm,Ingestion/Inhalation,scoping_review,BLD_002,polymer,HDPE,14,38.9,0.7,0,0,4,whole_blood,36,88.9,4.2,µ-FTIR,South Korea
BS_003,Meconium,2,0,> 50 µm,PE,newborns,primary_study,2024,ORG_003,Digestive,Colorectal cancer tissue,fibre,SEM-EDX,11,331,0.8–1.6 mm,Ingestion,scoping_review,BLD_003,polymer,LDPE,6,16.7,0.3,0,0,4,whole_blood,36,88.9,4.2,µ-FTIR,South Korea
BS_004,Meconium,12,54.1,> 20 µm,PA,newborns,primary_study,2024,ORG_004,Digestive,Liver,fragment,Nile Red fluorescence,11,3.2,4–30 µm,Ingestion/Translocation,scoping_review,BLD_004,polymer,PP,21,58.3,1.7,0,1,22,whole_blood,36,88.9,4.2,µ-FTIR,South Korea
BS_005,Infant faeces,12,26.6,> 20 µm,PA,infants,primary_study,2024,ORG_005,Endocrine,Placenta,fragment,µ-FTIR,17,149,20.34–307.24 µm,Translocation via bloodstream,scoping_review,BLD_005,polymer,PET,3,8.3,0.1,0,0,1,whole_blood,36,88.9,4.2,µ-FTIR,South Korea
BS_006,Semen,25,0.23,21.76–286.71 µm,PVC,healthy adults,primary_study,2024,ORG_006,Integumentary,Face skin,sphere,Optical microscopy,2000,4265,100–500 µm,Inhalation/Contact,scoping_review,BLD_006,size,5-10 µm,1,2.8,0.03,0,0,1,whole_blood,36,88.9,4.2,µ-FTIR,South Korea
BS_007,Semen,10,16,2–5 µm,PP,healthy young men,primary_study,2024,ORG_007,Integumentary,Hand skin,sphere,Optical microscopy,2000,4051,100–500 µm,Inhalation/Contact,scoping_review,BLD_007,size,10-20 µm,6,16.7,0.2,0,0,2,whole_blood,36,88.9,4.2,µ-FTIR,South Korea
BS_008,Stool,8,9,50–500 µm,PP,healthy young men,primary_study,2024,ORG_008,Integumentary,Hair,sphere,Optical microscopy,2000,7462,100–500 µm,Inhalation/Contact,scoping_review,BLD_008,size,20-50 µm,27,75,2.8,0,2,21,whole_blood,36,88.9,4.2,µ-FTIR,South Korea
BS_009,Stool,8,129,40.2–4812.9 µm,PS,healthy participants,primary_study,2024,ORG_009,Integumentary,Saliva,sphere,Optical microscopy,2000,645,100–500 µm,Inhalation/Contact,scoping_review,BLD_009,size,50-100 µm,19,52.8,0.9,0,1,5,whole_blood,36,88.9,4.2,µ-FTIR,South Korea
BS_010,Stool,50,28,4.4–333.2 µm,PET,healthy adults,primary_study,2024,ORG_010,Lymphatic,Spleen,fragment,Nile Red fluorescence,3,4,5–25 µm,Ingestion/Translocation,scoping_review,BLD_010,size,≥100 µm,7,19.4,0.3,0,0,3,whole_blood,36,88.9,4.2,µ-FTIR,South Korea
BS_011,Stool,52,41.8,1.7–393.8 µm,PET,IBD patients,primary_study,2024,ORG_011,Respiratory,Lung tissues,fragment,µ-FTIR,20,31,1.6–16.8 µm,Inhalation,scoping_review,BLD_011,shape,Fragment,31,86.1,3.6,0,2,24,whole_blood,36,88.9,4.2,µ-FTIR,South Korea
BS_012,Sputum,22,18.75,20–500 µm,PU,adults,primary_study,2024,ORG_012,Respiratory,Lung granule nodules,fibre,SEM-EDX,100,65,>20 µm,Inhalation,scoping_review,BLD_012,shape,Fiber,13,36.1,0.7,0,0,4,whole_blood,36,88.9,4.2,µ-FTIR,South Korea
BS_013,Urine,6,7,4–15 µm,PVA,healthy adults,primary_study,2024,ORG_013,Respiratory,Lung tissue,fibre,µ-FTIR,13,39,12–2475 µm,Inhalation,scoping_review,,,,,,,,,,,,,,,
BS_014,Urine,9,98,0.01 nm–871 µm,PP,healthy adults,primary_study,2024,ORG_014,Integumentary,Face skin,fragment,Py-GC/MS,6,31,20–100 µm,Translocation/Ingestion,scoping_review,,,,,,,,,,,,,,,
